기준월,년,월,콘텐츠구분,서비스 형태,프로그램 제목,프로그램 코드,매출,KBS저작권료,외부저작권료
2025-01-01,2025,1,KBS,VOD,1박2일 시즌4,T2008-0189,53213160,45763318,0
2025-01-01,2025,1,KBS,VOD,공사창립특집 2부작 리더,T2025-0007,0,0,0
2025-01-01,2025,1,KBS,VOD,광복 80년 나의 호국 영웅,T2025-0034,0,0,0
2025-01-01,2025,1,KBS,VOD,공부와 놀부,T2025-0054,0,0,0
2025-01-01,2025,1,KBS,VOD,2024 창원 K-POP 월드 페스티벌,T2024-0536,498,428,0
2025-01-01,2025,1,KBS,VOD,미 싱 (Me Sing),T2024-0603,70698,60800,0
2025-01-01,2025,1,KBS,VOD,제45회 청룡영화상 시상식,T2024-0670,1485255,1277319,0
2025-01-01,2025,1,KBS,VOD,나라는 가수 인 스페인,T2024-0576,11659201,1284670,10165399
2025-01-01,2025,1,KBS,VOD,더 딴따라,T2024-0383,21971044,10864681,9337694
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 창원,T2024-0610,983,845,0
2025-01-01,2025,1,KBS,VOD,폭소클럽 2,T2006-1011,135,116,0
2025-01-01,2025,1,KBS,VOD,동물은 훌륭하다,T2024-0512,2316639,1992310,0
2025-01-01,2025,1,KBS,VOD,추석특집쇼 이찬원의 선물,T2024-0416,223390,192115,0
2025-01-01,2025,1,KBS,VOD,KBS 대기획 - 딴따라 JYP,T2024-0479,51619,44392,0
2025-01-01,2025,1,KBS,VOD,메소드 클럽,T2024-0452,65550,56373,0
2025-01-01,2025,1,KBS,VOD,폭소클럽,T2002-0713,388,334,0
2025-01-01,2025,1,KBS,VOD,보령머드축제 개막기념 K-POP SUPER LIVE,T2024-0395,143,123,0
2025-01-01,2025,1,KBS,VOD,제3회 청룡시리즈어워즈,T2024-0427,37443,32201,0
2025-01-01,2025,1,KBS,VOD,한·아세안 뮤직페스티벌 <ROUND in Korea>,T2024-0403,308,265,0
2025-01-01,2025,1,KBS,VOD,2024 코리안 페스티벌,T2024-0327,81,70,0
2025-01-01,2025,1,KBS,VOD,아이엠 온더비트,T2024-0319,229,197,0
2025-01-01,2025,1,KBS,VOD,팝업상륙작전,T2024-0207,53097,45663,0
